filename,class
0.jpg,53
1.jpg,15
2.jpg,1
3.jpg,43
4.jpg,53
5.jpg,35
6.jpg,74
7.jpg,26
8.jpg,60
9.jpg,47
10.jpg,36
11.jpg,55
12.jpg,1
13.jpg,5
14.jpg,26
15.jpg,69
16.jpg,0
17.jpg,8
18.jpg,20
19.jpg,60
20.jpg,53
21.jpg,53
22.jpg,47
23.jpg,50
24.jpg,35
25.jpg,36
26.jpg,68
27.jpg,58
28.jpg,17
29.jpg,25
30.jpg,23
31.jpg,53
32.jpg,44
33.jpg,70
34.jpg,5
35.jpg,15
36.jpg,51
37.jpg,49
38.jpg,21
39.jpg,7
40.jpg,70
41.jpg,2
42.jpg,34
43.jpg,16
44.jpg,1
45.jpg,62
46.jpg,31
47.jpg,57
48.jpg,75
49.jpg,61
50.jpg,20
51.jpg,8
52.jpg,45
53.jpg,39
54.jpg,33
55.jpg,31
56.jpg,24
57.jpg,53
58.jpg,1
59.jpg,35
60.jpg,1
61.jpg,32
62.jpg,44
63.jpg,43
64.jpg,32
65.jpg,0
66.jpg,58
67.jpg,26
68.jpg,50
69.jpg,62
70.jpg,67
71.jpg,40
72.jpg,12
73.jpg,70
74.jpg,23
75.jpg,1
76.jpg,77
77.jpg,76
78.jpg,37
79.jpg,34
80.jpg,20
81.jpg,58
82.jpg,56
83.jpg,3
84.jpg,23
85.jpg,42
86.jpg,61
87.jpg,49
88.jpg,74
89.jpg,68
90.jpg,47
91.jpg,32
92.jpg,59
93.jpg,31
94.jpg,1
95.jpg,12
96.jpg,54
97.jpg,68
98.jpg,11
99.jpg,46
100.jpg,63
101.jpg,43
102.jpg,20
103.jpg,54
104.jpg,53
105.jpg,41
106.jpg,71
107.jpg,60
108.jpg,64
109.jpg,33
110.jpg,23
111.jpg,34
112.jpg,68
113.jpg,5
114.jpg,74
115.jpg,3
116.jpg,23
117.jpg,18
118.jpg,0
119.jpg,29
120.jpg,59
121.jpg,23
122.jpg,59
123.jpg,26
124.jpg,1
125.jpg,0
126.jpg,1
127.jpg,23
128.jpg,44
129.jpg,45
130.jpg,17
131.jpg,59
132.jpg,27
133.jpg,1
134.jpg,1
135.jpg,26
136.jpg,68
137.jpg,63
138.jpg,31
139.jpg,43
140.jpg,26
141.jpg,1
142.jpg,37
143.jpg,25
144.jpg,72
145.jpg,23
146.jpg,59
147.jpg,10
148.jpg,16
149.jpg,45
150.jpg,31
151.jpg,45
152.jpg,34
153.jpg,11
154.jpg,5
155.jpg,62
156.jpg,62
157.jpg,66
158.jpg,14
159.jpg,47
160.jpg,50
161.jpg,60
162.jpg,40
163.jpg,23
164.jpg,19
165.jpg,59
166.jpg,19
167.jpg,18
168.jpg,33
169.jpg,50
170.jpg,64
171.jpg,60
172.jpg,5
173.jpg,57
174.jpg,37
175.jpg,62
176.jpg,51
177.jpg,67
178.jpg,44
179.jpg,60
180.jpg,0
181.jpg,76
182.jpg,1
183.jpg,26
184.jpg,35
185.jpg,36
186.jpg,66
187.jpg,70
188.jpg,26
189.jpg,19
190.jpg,50
191.jpg,17
192.jpg,0
193.jpg,16
194.jpg,70
195.jpg,32
196.jpg,34
197.jpg,76
198.jpg,54
199.jpg,77
200.jpg,42
201.jpg,16
202.jpg,1
203.jpg,37
204.jpg,16
205.jpg,71
206.jpg,3
207.jpg,41
208.jpg,43
209.jpg,74
210.jpg,77
211.jpg,19
212.jpg,58
213.jpg,53
214.jpg,78
215.jpg,15
216.jpg,33
217.jpg,12
218.jpg,15
219.jpg,58
220.jpg,36
221.jpg,35
222.jpg,58
223.jpg,26
224.jpg,61
225.jpg,40
226.jpg,18
227.jpg,36
228.jpg,28
229.jpg,28
230.jpg,39
231.jpg,17
232.jpg,73
233.jpg,25
234.jpg,44
235.jpg,34
236.jpg,71
237.jpg,43
238.jpg,42
239.jpg,7
240.jpg,74
241.jpg,1
242.jpg,4
243.jpg,79
244.jpg,70
245.jpg,69
246.jpg,20
247.jpg,68
248.jpg,74
249.jpg,1
250.jpg,5
251.jpg,41
252.jpg,1
253.jpg,1
254.jpg,72
255.jpg,42
256.jpg,44
257.jpg,20
258.jpg,2
259.jpg,63
260.jpg,53
261.jpg,60
262.jpg,63
263.jpg,42
264.jpg,73
265.jpg,23
266.jpg,1
267.jpg,30
268.jpg,40
269.jpg,33
270.jpg,49
271.jpg,35
272.jpg,70
273.jpg,38
274.jpg,19
275.jpg,50
276.jpg,21
277.jpg,43
278.jpg,28
279.jpg,15
280.jpg,43
281.jpg,46
282.jpg,47
283.jpg,41
284.jpg,60
285.jpg,34
286.jpg,0
287.jpg,57
288.jpg,15
289.jpg,3
290.jpg,34
291.jpg,51
292.jpg,53
293.jpg,63
294.jpg,43
295.jpg,48
296.jpg,24
297.jpg,1
298.jpg,66
299.jpg,49
300.jpg,23
301.jpg,27
302.jpg,25
303.jpg,42
304.jpg,73
305.jpg,22
306.jpg,17
307.jpg,14
308.jpg,35
309.jpg,67
310.jpg,30
311.jpg,68
312.jpg,49
313.jpg,37
314.jpg,63
315.jpg,16
316.jpg,0
317.jpg,56
318.jpg,0
319.jpg,69
320.jpg,14
321.jpg,76
322.jpg,1
323.jpg,35
324.jpg,65
325.jpg,50
326.jpg,79
327.jpg,27
328.jpg,51
329.jpg,53
330.jpg,2
331.jpg,50
332.jpg,30
333.jpg,78
334.jpg,34
335.jpg,63
336.jpg,41
337.jpg,15
338.jpg,70
339.jpg,67
340.jpg,64
341.jpg,62
342.jpg,25
343.jpg,20
344.jpg,11
345.jpg,34
346.jpg,72
347.jpg,76
348.jpg,25
349.jpg,6
350.jpg,11
351.jpg,68
352.jpg,38
353.jpg,15
354.jpg,50
355.jpg,60
356.jpg,33
357.jpg,27
358.jpg,34
359.jpg,33
360.jpg,55
361.jpg,20
362.jpg,45
363.jpg,7
364.jpg,39
365.jpg,66
366.jpg,49
367.jpg,66
368.jpg,50
369.jpg,69
370.jpg,62
371.jpg,73
372.jpg,19
373.jpg,62
374.jpg,6
375.jpg,57
376.jpg,22
377.jpg,56
378.jpg,67
379.jpg,17
380.jpg,19
381.jpg,43
382.jpg,58
383.jpg,19
384.jpg,63
385.jpg,38
386.jpg,23
387.jpg,22
388.jpg,40
389.jpg,10
390.jpg,71
391.jpg,27
392.jpg,67
393.jpg,40
394.jpg,71
395.jpg,60
396.jpg,58
397.jpg,28
398.jpg,18
399.jpg,53
400.jpg,63
401.jpg,29
402.jpg,11
403.jpg,55
404.jpg,67
405.jpg,74
406.jpg,29
407.jpg,12
408.jpg,77
409.jpg,51
410.jpg,76
411.jpg,43
412.jpg,37
413.jpg,28
414.jpg,8
415.jpg,26
416.jpg,53
417.jpg,41
418.jpg,20
419.jpg,61
420.jpg,30
421.jpg,60
422.jpg,61
423.jpg,74
424.jpg,67
425.jpg,60
426.jpg,10
427.jpg,12
428.jpg,34
429.jpg,79
430.jpg,20
431.jpg,23
432.jpg,49
433.jpg,22
434.jpg,62
435.jpg,59
436.jpg,46
437.jpg,25
438.jpg,26
439.jpg,1
440.jpg,62
441.jpg,5
442.jpg,7
443.jpg,47
444.jpg,62
445.jpg,3
446.jpg,33
447.jpg,32
448.jpg,9
449.jpg,1
450.jpg,70
451.jpg,33
452.jpg,74
453.jpg,1
454.jpg,53
455.jpg,14
456.jpg,45
457.jpg,16
458.jpg,15
