filename,class
0.jpg,77
1.jpg,75
2.jpg,77
3.jpg,51
4.jpg,75
5.jpg,77
6.jpg,75
7.jpg,77
8.jpg,77
11.jpg,50
13.jpg,41
14.jpg,77
15.jpg,75
16.jpg,71
19.jpg,77
20.jpg,75
21.jpg,75
23.jpg,77
24.jpg,77
25.jpg,51
26.jpg,75
27.jpg,77
28.jpg,6
29.jpg,75
31.jpg,70
32.jpg,77
33.jpg,77
35.jpg,75
36.jpg,75
37.jpg,77
38.jpg,75
39.jpg,75
40.jpg,51
41.jpg,77
42.jpg,2
43.jpg,77
44.jpg,75
46.jpg,41
47.jpg,50
48.jpg,77
49.jpg,77
50.jpg,75
55.jpg,4
56.jpg,75
57.jpg,77
59.jpg,77
60.jpg,64
61.jpg,77
62.jpg,77
63.jpg,77
66.jpg,77
67.jpg,2
68.jpg,41
70.jpg,77
71.jpg,2
72.jpg,28
73.jpg,77
74.jpg,77
75.jpg,77
76.jpg,77
77.jpg,75
78.jpg,41
79.jpg,75
82.jpg,75
83.jpg,1
84.jpg,77
85.jpg,75
88.jpg,51
89.jpg,75
91.jpg,77
93.jpg,70
95.jpg,75
97.jpg,77
98.jpg,6
99.jpg,75
100.jpg,41
101.jpg,77
102.jpg,77
103.jpg,77
104.jpg,77
105.jpg,75
107.jpg,75
108.jpg,77
109.jpg,77
