filename,class
0.jpg,37
1.jpg,29
2.jpg,15
3.jpg,21
4.jpg,76
5.jpg,48
6.jpg,68
7.jpg,20
8.jpg,49
11.jpg,28
13.jpg,41
14.jpg,12
15.jpg,70
16.jpg,49
19.jpg,8
20.jpg,62
21.jpg,79
23.jpg,64
24.jpg,46
25.jpg,25
26.jpg,19
27.jpg,73
28.jpg,2
29.jpg,57
31.jpg,64
32.jpg,63
33.jpg,67
35.jpg,66
36.jpg,33
37.jpg,70
38.jpg,63
39.jpg,36
40.jpg,35
41.jpg,61
42.jpg,48
43.jpg,64
44.jpg,67
46.jpg,53
47.jpg,53
48.jpg,73
49.jpg,42
50.jpg,40
55.jpg,34
56.jpg,75
57.jpg,15
59.jpg,24
60.jpg,0
61.jpg,19
62.jpg,38
63.jpg,35
66.jpg,5
67.jpg,39
68.jpg,37
70.jpg,57
71.jpg,39
72.jpg,3
73.jpg,41
74.jpg,47
75.jpg,52
76.jpg,16
77.jpg,31
78.jpg,38
79.jpg,76
82.jpg,50
83.jpg,58
84.jpg,22
85.jpg,43
88.jpg,45
89.jpg,10
91.jpg,77
93.jpg,78
95.jpg,68
97.jpg,18
98.jpg,1
99.jpg,51
100.jpg,59
101.jpg,7
102.jpg,17
103.jpg,44
104.jpg,58
105.jpg,66
107.jpg,56
108.jpg,40
109.jpg,30
