filename,class
0.jpg,41
1.jpg,75
2.jpg,75
3.jpg,75
4.jpg,41
5.jpg,75
6.jpg,41
7.jpg,75
8.jpg,77
11.jpg,5
13.jpg,41
14.jpg,75
15.jpg,41
16.jpg,5
19.jpg,41
20.jpg,75
21.jpg,41
23.jpg,41
24.jpg,75
25.jpg,50
26.jpg,75
27.jpg,75
28.jpg,41
29.jpg,41
31.jpg,75
32.jpg,75
33.jpg,77
35.jpg,75
36.jpg,75
37.jpg,6
38.jpg,75
39.jpg,41
40.jpg,41
41.jpg,41
42.jpg,2
43.jpg,41
44.jpg,41
46.jpg,41
47.jpg,41
48.jpg,41
49.jpg,75
50.jpg,75
55.jpg,6
56.jpg,75
57.jpg,77
59.jpg,75
60.jpg,41
61.jpg,75
62.jpg,41
63.jpg,41
66.jpg,2
67.jpg,41
68.jpg,41
70.jpg,75
71.jpg,2
72.jpg,59
73.jpg,41
74.jpg,41
75.jpg,41
76.jpg,41
77.jpg,41
78.jpg,41
79.jpg,41
82.jpg,75
83.jpg,1
84.jpg,41
85.jpg,75
88.jpg,41
89.jpg,41
91.jpg,75
93.jpg,41
95.jpg,75
97.jpg,41
98.jpg,41
99.jpg,41
100.jpg,41
101.jpg,6
102.jpg,77
103.jpg,41
104.jpg,41
105.jpg,59
107.jpg,75
108.jpg,77
109.jpg,59
